"","V1","V2","V3"
"84","2022_10_28_02","fa",1
"85","2022_10_28_02","fi",13
"86","2022_10_28_02","fr",386
"87","2022_10_28_02","hi",56
"88","2022_10_28_02","ht",7
"89","2022_10_28_02","hu",1
"90","2022_10_28_02","in",438
"91","2022_10_28_02","is",4
"92","2022_10_28_02","it",67
"93","2022_10_28_02","ja",621
"94","2022_10_28_02","ko",24
"95","2022_10_28_02","lt",1
"96","2022_10_28_02","nl",9
"97","2022_10_28_02","no",6
"98","2022_10_28_02","pl",13
"99","2022_10_28_02","pt",3212
"100","2022_10_28_02","ro",13
"101","2022_10_28_02","ru",6
"102","2022_10_28_02","si",1
"103","2022_10_28_02","sv",6
"104","2022_10_28_02","te",2
"105","2022_10_28_02","th",45
"106","2022_10_28_02","tl",77
"107","2022_10_28_02","tr",10
"108","2022_10_28_02","uk",1
"109","2022_10_28_02","und",235
"110","2022_10_28_02","zh",46
"111","2022_10_28_03","ar",5
"112","2022_10_28_03","bn",1
"113","2022_10_28_03","ca",15
"114","2022_10_28_03","cs",4
"115","2022_10_28_03","cy",2
"116","2022_10_28_03","da",3
"117","2022_10_28_03","de",118
"118","2022_10_28_03","el",6
"119","2022_10_28_03","en",17670
"120","2022_10_28_03","es",1675
"121","2022_10_28_03","et",5
"122","2022_10_28_03","eu",1
"123","2022_10_28_03","fa",1
"124","2022_10_28_03","fi",21
"125","2022_10_28_03","fr",461
"126","2022_10_28_03","hi",63
"127","2022_10_28_03","ht",9
"128","2022_10_28_03","hu",2
"129","2022_10_28_03","in",521
"130","2022_10_28_03","is",2
"131","2022_10_28_03","it",86
"132","2022_10_28_03","ja",984
"133","2022_10_28_03","ko",249
"134","2022_10_28_03","lt",7
"135","2022_10_28_03","lv",1
"136","2022_10_28_03","ml",1
"137","2022_10_28_03","mr",1
"138","2022_10_28_03","nl",20
"139","2022_10_28_03","no",2
"140","2022_10_28_03","pl",21
"141","2022_10_28_03","pt",2359
"142","2022_10_28_03","ro",9
"143","2022_10_28_03","ru",14
"144","2022_10_28_03","sl",2
"145","2022_10_28_03","sv",10
"146","2022_10_28_03","ta",5
"147","2022_10_28_03","te",2
"148","2022_10_28_03","th",77
"149","2022_10_28_03","tl",117
"150","2022_10_28_03","tr",20
"151","2022_10_28_03","uk",6
"152","2022_10_28_03","und",227
"153","2022_10_28_03","vi",2
"154","2022_10_28_03","zh",53
"155","2022_10_28_04","ar",4
"156","2022_10_28_04","bg",3
"157","2022_10_28_04","ca",19
"158","2022_10_28_04","cs",6
"159","2022_10_28_04","cy",2
"160","2022_10_28_04","da",14
"161","2022_10_28_04","de",239
"162","2022_10_28_04","el",15
"163","2022_10_28_04","en",16964
"164","2022_10_28_04","es",1304
"165","2022_10_28_04","et",15
"166","2022_10_28_04","eu",1
"167","2022_10_28_04","fa",4
"168","2022_10_28_04","fi",26
"169","2022_10_28_04","fr",884
"170","2022_10_28_04","hi",101
"171","2022_10_28_04","ht",7
"172","2022_10_28_04","in",536
"173","2022_10_28_04","is",3
"174","2022_10_28_04","it",212
"175","2022_10_28_04","iw",1
"176","2022_10_28_04","ja",623
"177","2022_10_28_04","kn",2
"178","2022_10_28_04","ko",115
"179","2022_10_28_04","lt",3
"180","2022_10_28_04","lv",2
"181","2022_10_28_04","ml",2
"182","2022_10_28_04","nl",51
"183","2022_10_28_04","no",5
"184","2022_10_28_04","pa",1
"185","2022_10_28_04","pl",61
"186","2022_10_28_04","pt",1005
"187","2022_10_28_04","ro",11
"188","2022_10_28_04","ru",23
"189","2022_10_28_04","sl",1
"190","2022_10_28_04","sv",9
"191","2022_10_28_04","ta",3
"192","2022_10_28_04","te",4
"193","2022_10_28_04","th",131
"194","2022_10_28_04","tl",168
"195","2022_10_28_04","tr",26
"196","2022_10_28_04","uk",16
"197","2022_10_28_04","und",187
"198","2022_10_28_04","zh",51
"199","2022_10_28_05","ar",5
"200","2022_10_28_05","bg",5
"201","2022_10_28_05","bn",1
"202","2022_10_28_05","ca",30
"203","2022_10_28_05","cs",7
"204","2022_10_28_05","cy",3
"205","2022_10_28_05","da",17
"206","2022_10_28_05","de",417
"207","2022_10_28_05","el",32
"208","2022_10_28_05","en",14991
"209","2022_10_28_05","es",1125
"210","2022_10_28_05","et",16
"211","2022_10_28_05","eu",2
"212","2022_10_28_05","fa",11
"213","2022_10_28_05","fi",24
"214","2022_10_28_05","fr",1362
"215","2022_10_28_05","hi",87
"216","2022_10_28_05","ht",10
"217","2022_10_28_05","hu",2
"218","2022_10_28_05","in",389
"219","2022_10_28_05","is",3
"220","2022_10_28_05","it",416
"221","2022_10_28_05","iw",3
"222","2022_10_28_05","ja",659
"223","2022_10_28_05","ko",86
"224","2022_10_28_05","lt",6
"225","2022_10_28_05","lv",2
"226","2022_10_28_05","ml",1
"227","2022_10_28_05","mr",3
"228","2022_10_28_05","ne",1
"229","2022_10_28_05","nl",108
"230","2022_10_28_05","no",7
"231","2022_10_28_05","or",1
"232","2022_10_28_05","pl",74
"233","2022_10_28_05","pt",562
"234","2022_10_28_05","ro",10
"235","2022_10_28_05","ru",41
"236","2022_10_28_05","sl",13
"237","2022_10_28_05","sv",18
"238","2022_10_28_05","ta",4
"239","2022_10_28_05","te",5
"240","2022_10_28_05","th",99
"241","2022_10_28_05","tl",189
"242","2022_10_28_05","tr",65
"243","2022_10_28_05","uk",18
"244","2022_10_28_05","und",290
"245","2022_10_28_05","ur",1
"246","2022_10_28_05","vi",4
"247","2022_10_28_05","zh",45
"248","2022_10_28_06","ar",5
"249","2022_10_28_06","bg",7
"250","2022_10_28_06","bn",3
"251","2022_10_28_06","ca",41
"252","2022_10_28_06","cs",11
"253","2022_10_28_06","cy",2
"254","2022_10_28_06","da",18
"255","2022_10_28_06","de",583
"256","2022_10_28_06","el",40
"257","2022_10_28_06","en",13611
"258","2022_10_28_06","es",891
"259","2022_10_28_06","et",39
"260","2022_10_28_06","eu",2
"261","2022_10_28_06","fa",11
"262","2022_10_28_06","fi",19
"263","2022_10_28_06","fr",1783
"264","2022_10_28_06","gu",1
"265","2022_10_28_06","hi",114
"266","2022_10_28_06","ht",9
"267","2022_10_28_06","hu",4
"268","2022_10_28_06","in",371
"269","2022_10_28_06","is",1
"270","2022_10_28_06","it",598
"271","2022_10_28_06","iw",3
"272","2022_10_28_06","ja",622
"273","2022_10_28_06","kn",2
"274","2022_10_28_06","ko",68
"275","2022_10_28_06","lt",8
"276","2022_10_28_06","lv",7
"277","2022_10_28_06","mr",3
"278","2022_10_28_06","nl",188
"279","2022_10_28_06","no",9
"280","2022_10_28_06","or",3
"281","2022_10_28_06","pl",110
"282","2022_10_28_06","pt",322
"283","2022_10_28_06","ro",11
"284","2022_10_28_06","ru",87
"285","2022_10_28_06","sl",8
"286","2022_10_28_06","sr",3
"287","2022_10_28_06","sv",26
"288","2022_10_28_06","ta",4
"289","2022_10_28_06","th",106
"290","2022_10_28_06","tl",121
"291","2022_10_28_06","tr",98
"292","2022_10_28_06","uk",33
"293","2022_10_28_06","und",294
"294","2022_10_28_06","ur",1
"295","2022_10_28_06","vi",3
"296","2022_10_28_06","zh",59
"297","2022_10_28_07","ar",7
"298","2022_10_28_07","bg",2
"299","2022_10_28_07","bn",3
"300","2022_10_28_07","ca",27
"301","2022_10_28_07","cs",19
"302","2022_10_28_07","cy",1
"303","2022_10_28_07","da",15
"304","2022_10_28_07","de",549
"305","2022_10_28_07","el",29
"306","2022_10_28_07","en",13194
"307","2022_10_28_07","es",1638
"308","2022_10_28_07","et",28
"309","2022_10_28_07","eu",4
"310","2022_10_28_07","fa",56
"311","2022_10_28_07","fi",10
"312","2022_10_28_07","fr",1926
"313","2022_10_28_07","gu",1
"314","2022_10_28_07","hi",130
"315","2022_10_28_07","ht",7
"316","2022_10_28_07","hu",6
"317","2022_10_28_07","in",345
"318","2022_10_28_07","is",1
"319","2022_10_28_07","it",723
"320","2022_10_28_07","ja",708
"321","2022_10_28_07","kn",1
"322","2022_10_28_07","ko",99
"323","2022_10_28_07","lt",4
"324","2022_10_28_07","lv",8
"325","2022_10_28_07","mr",21
"326","2022_10_28_07","nl",211
"327","2022_10_28_07","no",8
"328","2022_10_28_07","or",2
"329","2022_10_28_07","pa",1
"330","2022_10_28_07","pl",139
"331","2022_10_28_07","pt",305
"332","2022_10_28_07","ro",7
"333","2022_10_28_07","ru",65
"334","2022_10_28_07","sl",11
"335","2022_10_28_07","sr",5
"336","2022_10_28_07","sv",31
"337","2022_10_28_07","te",4
"338","2022_10_28_07","th",136
"339","2022_10_28_07","tl",180
"340","2022_10_28_07","tr",72
"341","2022_10_28_07","uk",33
"342","2022_10_28_07","und",278
"343","2022_10_28_07","vi",2
"344","2022_10_28_07","zh",57
"345","2022_10_28_08","ar",22
"346","2022_10_28_08","ca",36
"347","2022_10_28_08","cs",9
"348","2022_10_28_08","cy",2
"349","2022_10_28_08","da",24
"350","2022_10_28_08","de",613
"351","2022_10_28_08","el",19
"352","2022_10_28_08","en",13234
"353","2022_10_28_08","es",1572
"354","2022_10_28_08","et",12
"355","2022_10_28_08","fa",42
"356","2022_10_28_08","fi",15
"357","2022_10_28_08","fr",1891
"358","2022_10_28_08","gu",1
"359","2022_10_28_08","hi",122
"360","2022_10_28_08","ht",9
"361","2022_10_28_08","hu",3
"362","2022_10_28_08","in",337
"363","2022_10_28_08","it",887
"364","2022_10_28_08","iw",1
"365","2022_10_28_08","ja",971
"366","2022_10_28_08","ko",58
"367","2022_10_28_08","lt",4
"368","2022_10_28_08","lv",5
"369","2022_10_28_08","ml",2
"370","2022_10_28_08","mr",2
"371","2022_10_28_08","nl",187
"372","2022_10_28_08","no",21
"373","2022_10_28_08","or",1
"374","2022_10_28_08","pl",150
"375","2022_10_28_08","pt",487
"376","2022_10_28_08","ro",9
"377","2022_10_28_08","ru",49
"378","2022_10_28_08","sl",10
"379","2022_10_28_08","sr",1
"380","2022_10_28_08","sv",33
"381","2022_10_28_08","te",2
"382","2022_10_28_08","th",103
"383","2022_10_28_08","tl",138
"384","2022_10_28_08","tr",74
"385","2022_10_28_08","uk",11
"386","2022_10_28_08","und",280
"387","2022_10_28_08","vi",4
"388","2022_10_28_08","zh",38
"389","2022_10_28_09","ar",17
"390","2022_10_28_09","bn",2
"391","2022_10_28_09","ca",35
"392","2022_10_28_09","cs",8
"393","2022_10_28_09","cy",1
"394","2022_10_28_09","da",16
"395","2022_10_28_09","de",644
"396","2022_10_28_09","el",46
"397","2022_10_28_09","en",13074
"398","2022_10_28_09","es",1421
"399","2022_10_28_09","et",13
"400","2022_10_28_09","eu",12
"401","2022_10_28_09","fa",80
"402","2022_10_28_09","fi",14
"403","2022_10_28_09","fr",1865
"404","2022_10_28_09","gu",1
"405","2022_10_28_09","hi",96
"406","2022_10_28_09","ht",8
"407","2022_10_28_09","hu",1
"408","2022_10_28_09","in",341
"409","2022_10_28_09","it",1173
"410","2022_10_28_09","iw",5
"411","2022_10_28_09","ja",1068
"412","2022_10_28_09","ko",54
"413","2022_10_28_09","lt",4
"414","2022_10_28_09","lv",11
"415","2022_10_28_09","mr",1
"416","2022_10_28_09","ne",1
"417","2022_10_28_09","nl",192
"418","2022_10_28_09","no",15
"419","2022_10_28_09","or",1
"420","2022_10_28_09","pl",97
"421","2022_10_28_09","pt",1109
"422","2022_10_28_09","ro",15
"423","2022_10_28_09","ru",41
"424","2022_10_28_09","si",1
"425","2022_10_28_09","sl",3
"426","2022_10_28_09","sr",5
"427","2022_10_28_09","sv",57
"428","2022_10_28_09","ta",1
"429","2022_10_28_09","te",1
"430","2022_10_28_09","th",82
"431","2022_10_28_09","tl",150
"432","2022_10_28_09","tr",96
"433","2022_10_28_09","uk",16
"434","2022_10_28_09","und",379
"435","2022_10_28_09","vi",5
"436","2022_10_28_09","zh",44
"437","2022_10_28_10","ar",38
"438","2022_10_28_10","bg",4
"439","2022_10_28_10","ca",52
"440","2022_10_28_10","cs",15
"441","2022_10_28_10","cy",3
"442","2022_10_28_10","da",9
"443","2022_10_28_10","de",629
"444","2022_10_28_10","el",52
"445","2022_10_28_10","en",14748
"446","2022_10_28_10","es",1946
"447","2022_10_28_10","et",17
"448","2022_10_28_10","eu",2
"449","2022_10_28_10","fa",49
"450","2022_10_28_10","fi",14
"451","2022_10_28_10","fr",1986
"452","2022_10_28_10","hi",157
"453","2022_10_28_10","ht",9
"454","2022_10_28_10","hu",6
"455","2022_10_28_10","in",374
"456","2022_10_28_10","is",4
"457","2022_10_28_10","it",1243
"458","2022_10_28_10","ja",1115
"459","2022_10_28_10","ko",65
"460","2022_10_28_10","lt",6
"461","2022_10_28_10","lv",6
"462","2022_10_28_10","ml",3
"463","2022_10_28_10","ne",1
"464","2022_10_28_10","nl",184
"465","2022_10_28_10","no",20
"466","2022_10_28_10","pl",81
"467","2022_10_28_10","pt",1847
"468","2022_10_28_10","ro",14
"469","2022_10_28_10","ru",30
"470","2022_10_28_10","sl",3
"471","2022_10_28_10","sr",5
"472","2022_10_28_10","sv",54
"473","2022_10_28_10","ta",5
"474","2022_10_28_10","te",3
"475","2022_10_28_10","th",109
"476","2022_10_28_10","tl",178
"477","2022_10_28_10","tr",71
"478","2022_10_28_10","uk",8
"479","2022_10_28_10","und",410
"480","2022_10_28_10","zh",62
"481","2022_10_28_11","ar",23
"482","2022_10_28_11","bg",2
"483","2022_10_28_11","ca",32
"484","2022_10_28_11","cs",9
"485","2022_10_28_11","cy",8
"486","2022_10_28_11","da",12
"487","2022_10_28_11","de",617
"488","2022_10_28_11","el",36
"489","2022_10_28_11","en",16985
"490","2022_10_28_11","es",2473
"491","2022_10_28_11","et",15
"492","2022_10_28_11","eu",2
"493","2022_10_28_11","fa",32
"494","2022_10_28_11","fi",25
"495","2022_10_28_11","fr",2213
"496","2022_10_28_11","gu",1
"497","2022_10_28_11","hi",128
"498","2022_10_28_11","ht",165
"499","2022_10_28_11","hu",5
"500","2022_10_28_11","in",362
"501","2022_10_28_11","is",5
"502","2022_10_28_11","it",1261
"503","2022_10_28_11","iw",1
"504","2022_10_28_11","ja",1177
"505","2022_10_28_11","ko",58
"506","2022_10_28_11","lt",6
"507","2022_10_28_11","lv",5
"508","2022_10_28_11","ml",2
"509","2022_10_28_11","ne",1
"510","2022_10_28_11","nl",180
"511","2022_10_28_11","no",14
"512","2022_10_28_11","pa",2
"513","2022_10_28_11","pl",65
"514","2022_10_28_11","pt",2224
"515","2022_10_28_11","ro",18
"516","2022_10_28_11","ru",25
"517","2022_10_28_11","sl",5
"518","2022_10_28_11","sr",2
"519","2022_10_28_11","sv",37
"520","2022_10_28_11","te",3
"521","2022_10_28_11","th",107
"522","2022_10_28_11","tl",172
"523","2022_10_28_11","tr",43
"524","2022_10_28_11","uk",11
"525","2022_10_28_11","und",359
"526","2022_10_28_11","vi",8
"527","2022_10_28_11","zh",37
"528","2022_10_28_12","ar",9
"529","2022_10_28_12","bg",2
"530","2022_10_28_12","ca",42
"531","2022_10_28_12","cs",11
"532","2022_10_28_12","da",11
"533","2022_10_28_12","de",590
"534","2022_10_28_12","el",23
"535","2022_10_28_12","en",19809
"536","2022_10_28_12","es",2587
"537","2022_10_28_12","et",28
"538","2022_10_28_12","eu",3
"539","2022_10_28_12","fa",21
"540","2022_10_28_12","fi",14
"541","2022_10_28_12","fr",1904
"542","2022_10_28_12","gu",1
"543","2022_10_28_12","hi",123
"544","2022_10_28_12","ht",3
"545","2022_10_28_12","hu",1
"546","2022_10_28_12","in",356
"547","2022_10_28_12","is",3
"548","2022_10_28_12","it",1331
"549","2022_10_28_12","iw",3
"550","2022_10_28_12","ja",1091
"551","2022_10_28_12","kn",1
"552","2022_10_28_12","ko",118
"553","2022_10_28_12","lt",4
"554","2022_10_28_12","lv",3
"555","2022_10_28_12","ml",1
"556","2022_10_28_12","mr",6
"557","2022_10_28_12","nl",178
"558","2022_10_28_12","no",16
"559","2022_10_28_12","or",1
"560","2022_10_28_12","pl",79
"561","2022_10_28_12","pt",2678
"562","2022_10_28_12","ro",16
"563","2022_10_28_12","ru",24
"564","2022_10_28_12","sl",1
"565","2022_10_28_12","sr",1
"566","2022_10_28_12","sv",41
"567","2022_10_28_12","ta",2
"568","2022_10_28_12","te",6
"569","2022_10_28_12","th",144
"570","2022_10_28_12","tl",180
"571","2022_10_28_12","tr",45
"572","2022_10_28_12","uk",7
"573","2022_10_28_12","und",378
"574","2022_10_28_12","vi",7
"575","2022_10_28_12","zh",34
"576","2022_10_28_13","ar",15
"577","2022_10_28_13","bg",1
"578","2022_10_28_13","bn",2
"579","2022_10_28_13","ca",44
"580","2022_10_28_13","cs",7
"581","2022_10_28_13","cy",3
"582","2022_10_28_13","da",11
"583","2022_10_28_13","de",568
"584","2022_10_28_13","el",22
"585","2022_10_28_13","en",21731
"586","2022_10_28_13","es",2892
"587","2022_10_28_13","et",26
"588","2022_10_28_13","eu",5
"589","2022_10_28_13","fa",13
"590","2022_10_28_13","fi",35
"591","2022_10_28_13","fr",1666
"592","2022_10_28_13","hi",141
"593","2022_10_28_13","ht",10
"594","2022_10_28_13","hu",4
"595","2022_10_28_13","in",479
"596","2022_10_28_13","is",3
"597","2022_10_28_13","it",1291
"598","2022_10_28_13","ja",1032
"599","2022_10_28_13","kn",1
"600","2022_10_28_13","ko",149
"601","2022_10_28_13","lt",8
"602","2022_10_28_13","lv",1
"603","2022_10_28_13","mr",1
"604","2022_10_28_13","nl",183
"605","2022_10_28_13","no",13
"606","2022_10_28_13","pl",85
"607","2022_10_28_13","pt",2518
"608","2022_10_28_13","ro",16
"609","2022_10_28_13","ru",46
"610","2022_10_28_13","sl",3
"611","2022_10_28_13","sr",3
"612","2022_10_28_13","sv",47
"613","2022_10_28_13","ta",8
"614","2022_10_28_13","te",6
"615","2022_10_28_13","th",122
"616","2022_10_28_13","tl",138
"617","2022_10_28_13","tr",61
"618","2022_10_28_13","uk",10
"619","2022_10_28_13","und",440
"620","2022_10_28_13","vi",8
"621","2022_10_28_13","zh",77
"622","2022_10_28_14","ar",16
"623","2022_10_28_14","ca",32
"624","2022_10_28_14","cs",9
"625","2022_10_28_14","cy",4
"626","2022_10_28_14","da",17
"627","2022_10_28_14","de",547
"628","2022_10_28_14","el",34
"629","2022_10_28_14","en",23022
"630","2022_10_28_14","es",3042
"631","2022_10_28_14","et",13
"632","2022_10_28_14","eu",2
"633","2022_10_28_14","fa",4
"634","2022_10_28_14","fi",31
"635","2022_10_28_14","fr",1742
"636","2022_10_28_14","gu",1
"637","2022_10_28_14","hi",136
"638","2022_10_28_14","ht",7
"639","2022_10_28_14","in",345
"640","2022_10_28_14","is",1
"641","2022_10_28_14","it",1295
"642","2022_10_28_14","iw",1
"643","2022_10_28_14","ja",954
"644","2022_10_28_14","kn",1
"645","2022_10_28_14","ko",111
"646","2022_10_28_14","lt",6
"647","2022_10_28_14","lv",5
"648","2022_10_28_14","mr",3
"649","2022_10_28_14","ne",1
"650","2022_10_28_14","nl",241
"651","2022_10_28_14","no",13
"652","2022_10_28_14","pl",105
"653","2022_10_28_14","pt",2298
"654","2022_10_28_14","ro",12
"655","2022_10_28_14","ru",16
"656","2022_10_28_14","sl",4
"657","2022_10_28_14","sr",1
"658","2022_10_28_14","sv",49
"659","2022_10_28_14","te",4
"660","2022_10_28_14","th",139
"661","2022_10_28_14","tl",131
"662","2022_10_28_14","tr",67
"663","2022_10_28_14","uk",9
"664","2022_10_28_14","und",381
"665","2022_10_28_14","ur",1
"666","2022_10_28_14","vi",1
"667","2022_10_28_14","zh",40
"668","2022_10_28_15","ar",14
"669","2022_10_28_15","bg",1
"670","2022_10_28_15","bn",2
"671","2022_10_28_15","ca",37
"672","2022_10_28_15","cs",11
"673","2022_10_28_15","cy",3
"674","2022_10_28_15","da",6
"675","2022_10_28_15","de",495
"676","2022_10_28_15","el",23
"677","2022_10_28_15","en",24052
"678","2022_10_28_15","es",2835
"679","2022_10_28_15","et",16
"680","2022_10_28_15","eu",1
"681","2022_10_28_15","fa",9
"682","2022_10_28_15","fi",18
"683","2022_10_28_15","fr",1735
"684","2022_10_28_15","hi",136
"685","2022_10_28_15","ht",11
"686","2022_10_28_15","hu",3
"687","2022_10_28_15","in",320
"688","2022_10_28_15","is",1
"689","2022_10_28_15","it",1337
"690","2022_10_28_15","iw",1
"691","2022_10_28_15","ja",668
"692","2022_10_28_15","ko",68
"693","2022_10_28_15","lt",9
"694","2022_10_28_15","lv",8
"695","2022_10_28_15","mr",3
"696","2022_10_28_15","my",1
"697","2022_10_28_15","ne",1
"698","2022_10_28_15","nl",215
"699","2022_10_28_15","no",22
"700","2022_10_28_15","pa",1
"701","2022_10_28_15","pl",103
"702","2022_10_28_15","pt",2112
"703","2022_10_28_15","ro",11
"704","2022_10_28_15","ru",29
"705","2022_10_28_15","sl",7
"706","2022_10_28_15","sv",35
"707","2022_10_28_15","te",2
"708","2022_10_28_15","th",119
"709","2022_10_28_15","tl",131
"710","2022_10_28_15","tr",57
"711","2022_10_28_15","uk",9
"712","2022_10_28_15","und",373
"713","2022_10_28_15","ur",2
"714","2022_10_28_15","vi",4
"715","2022_10_28_15","zh",55
"716","2022_10_28_16","ar",29
"717","2022_10_28_16","bg",3
"718","2022_10_28_16","ca",41
"719","2022_10_28_16","cs",9
"720","2022_10_28_16","cy",4
"721","2022_10_28_16","da",18
"722","2022_10_28_16","de",500
"723","2022_10_28_16","el",31
"724","2022_10_28_16","en",23587
"725","2022_10_28_16","es",2409
"726","2022_10_28_16","et",21
"727","2022_10_28_16","eu",1
"728","2022_10_28_16","fa",49
"729","2022_10_28_16","fi",19
"730","2022_10_28_16","fr",2011
"731","2022_10_28_16","gu",3
"732","2022_10_28_16","hi",140
"733","2022_10_28_16","ht",5
"734","2022_10_28_16","hu",3
"735","2022_10_28_16","in",278
"736","2022_10_28_16","is",4
"737","2022_10_28_16","it",1304
"738","2022_10_28_16","ja",401
"739","2022_10_28_16","ko",25
"740","2022_10_28_16","lt",8
"741","2022_10_28_16","lv",5
"742","2022_10_28_16","mr",3
"743","2022_10_28_16","nl",242
"744","2022_10_28_16","no",19
"745","2022_10_28_16","pl",95
"746","2022_10_28_16","pt",1912
"747","2022_10_28_16","ro",9
"748","2022_10_28_16","ru",31
"749","2022_10_28_16","sl",9
"750","2022_10_28_16","sr",1
"751","2022_10_28_16","sv",46
"752","2022_10_28_16","ta",2
"753","2022_10_28_16","te",24
"754","2022_10_28_16","th",86
"755","2022_10_28_16","tl",133
"756","2022_10_28_16","tr",89
"757","2022_10_28_16","uk",5
"758","2022_10_28_16","und",401
"759","2022_10_28_16","ur",4
"760","2022_10_28_16","vi",6
"761","2022_10_28_16","zh",58
"762","2022_10_28_17","ar",14
"763","2022_10_28_17","bg",3
"764","2022_10_28_17","ca",39
"765","2022_10_28_17","cs",9
"766","2022_10_28_17","cy",2
"767","2022_10_28_17","da",15
"768","2022_10_28_17","de",520
"769","2022_10_28_17","el",20
"770","2022_10_28_17","en",24090
"771","2022_10_28_17","es",2253
"772","2022_10_28_17","et",18
"773","2022_10_28_17","fa",32
"774","2022_10_28_17","fi",13
"775","2022_10_28_17","fr",2207
"776","2022_10_28_17","hi",141
"777","2022_10_28_17","ht",7
"778","2022_10_28_17","hu",6
"779","2022_10_28_17","in",178
"780","2022_10_28_17","is",2
"781","2022_10_28_17","it",1178
"782","2022_10_28_17","ja",269
"783","2022_10_28_17","ko",14
"784","2022_10_28_17","lt",6
"785","2022_10_28_17","lv",1
"786","2022_10_28_17","mr",5
"787","2022_10_28_17","nl",249
"788","2022_10_28_17","no",17
"789","2022_10_28_17","pl",97
"790","2022_10_28_17","pt",1742
"791","2022_10_28_17","ro",14
"792","2022_10_28_17","ru",10
"793","2022_10_28_17","sl",6
"794","2022_10_28_17","sr",1
"795","2022_10_28_17","sv",41
"796","2022_10_28_17","ta",3
"797","2022_10_28_17","te",28
"798","2022_10_28_17","th",65
"799","2022_10_28_17","tl",82
"800","2022_10_28_17","tr",197
"801","2022_10_28_17","uk",13
"802","2022_10_28_17","und",402
"803","2022_10_28_17","vi",2
"804","2022_10_28_17","zh",39
"805","2022_10_28_18","ar",18
"806","2022_10_28_18","ca",36
"807","2022_10_28_18","ckb",1
"808","2022_10_28_18","cs",48
"809","2022_10_28_18","cy",6
"810","2022_10_28_18","da",11
"811","2022_10_28_18","de",490
"812","2022_10_28_18","el",22
"813","2022_10_28_18","en",25071
"814","2022_10_28_18","es",2343
"815","2022_10_28_18","et",11
"816","2022_10_28_18","fa",55
"817","2022_10_28_18","fi",9
"818","2022_10_28_18","fr",2492
"819","2022_10_28_18","hi",107
"820","2022_10_28_18","ht",5
"821","2022_10_28_18","hu",4
"822","2022_10_28_18","in",136
"823","2022_10_28_18","is",7
"824","2022_10_28_18","it",1228
"825","2022_10_28_18","iw",1
"826","2022_10_28_18","ja",207
"827","2022_10_28_18","kn",2
"828","2022_10_28_18","ko",15
"829","2022_10_28_18","lt",8
"830","2022_10_28_18","lv",7
"831","2022_10_28_18","nl",171
